country	industry	score	a_weighted_rating	a_visibility	a_spread	a_volume	a_time	a_length	a_score
US	automotive-automotive-other	0.740620634920635	1.0	0.0	0.5	0.45	0.571428571428571	0.777777777777778	0.740620634920635
US	financial-services-insurance	0.881685783191026	0.952678982491213	0.0	0.818292682926829	0.825	0.857142857142857	0.574468085106383	0.881685783191026
US	real-estate-property-management	0.827809976334107	0.982287542600688	0.0	0.59	0.59	1.0	0.282758620689655	0.827809976334107
US	automotive-repair-&-service	0.881905381588014	0.936879787497403	0.0	0.9	0.87	0.857142857142857	0.68	0.881905381588014
US	real-estate-real-estate-other	0.457203830410038	0.20075611648307	0.0	0.88	0.55	0.928571428571429	0.761904761904762	0.457203830410038
US	pets-veterinarians	0.772241298940554	0.909807417561	0.0	0.407692307692308	0.6	1.0	0.272727272727273	0.772241298940554
US	hospitality-&-travel-hospitality-&-travel-other	0.712166309823794	0.71736517663654	0.0	0.631428571428572	0.735	1.0	0.447004608294931	0.712166309823794
US	hospitality-&-travel-activities	0.661020544248425	0.934512880083194	0.0	0.330617284	0.330617284	0.5	0.808510638297872	0.661020544248425
US	education-education-other	0.756274964690450	0.960183265010786	0.0	0.52	0.52	0.714285714285714	0.758241758241758	0.756274964690450
US	home-services-general-contracting	0.694304887251359	0.956938147849315	0.0	0.52	0.52	0.107142857142857	0.636363636363636	0.694304887251359
US	real-estate-real-estate-other	0.456358828110186	0.93634497991308	0.0	0.93	0.0875	0.178571428571429	0.1	0.456358828110186
US	restaurants-carry-out	0.792554898986082	0.883533626651371	0.0	0.7	0.65	0.928571428571429	0.453488372093023	0.792554898986082
US	entertainment-live-performance-&-sports	0.529119696801741	0.266343576048829	0.0	0.684761904761905	0.88	1.0	0.823529411764706	0.529119696801741
US	beauty-beauty-other	0.756514650306526	0.854731164609747	0.0	0.88	0.755	0.214285714285714	0.89041095890411	0.756514650306526
US	beauty-skin-care	0.680864826760175	0.842104931881482	0.0	0.38	0.38	1.0	0.672811059907834	0.680864826760175
US	retail-retail-clothing	0.708668874468932	0.641991872094029	0.0	0.88	0.705	0.928571428571429	0.607142857142857	0.708668874468932
US	automotive-rental	0.880344993583925	0.851914576560502	0.0	0.964619883040936	1.0	1.0	0.700729927007299	0.880344993583925
US	restaurants-fast-food	0.777532092834619	0.863873702365252	0.0	0.409958847736626	0.74	1.0	0.731060606060606	0.777532092834619
US	hospitality-&-travel-activities	0.590619052871625	0.499126553362508	0.0	0.502394432834395	0.715185185	1.0	0.642441860465116	0.590619052871625
US	health-care-senior-care	0.735247415733874	0.925160911116507	0.0	0.575217391304348	0.58	0.571428571428571	0.620689655172414	0.735247415733874
US	hospitality-&-travel-activities	0.560396976063945	0.417448866211904	0.0	0.624003527571429	0.735185185	1.0	0.461024498886414	0.560396976063945
GB	legal-legal-other	0.509458026226993	0.991181391816511	0.0	0.3	0.24	0.285714285714286	0.222222222222222	0.509458026226993
US	retail-supermarkets	0.856700847569004	0.882941477060163	0.0	0.88	0.88	0.904761904761905	0.680701754385965	0.856700847569004
US	health-care-physicians	0.764654382118687	0.999988797903685	0.0	0.244025157232704	0.375	1.0	0.579268292682927	0.764654382118687
US	retail-supermarkets	0.880141041033788	0.917128318155455	0.0	0.88	0.88	1.0	0.357798165137615	0.880141041033788
US	health-care-home-care	0.629157894728766	0.993982745964115	0.0	0.31	0.225	0.214285714285714	0.111111111111111	0.629157894728766
US	health-care-dentists	0.811864649637203	0.987426210582837	0.0	0.54	0.545	1.0	0.564516129032258	0.811864649637203
US	beauty-beauty-other	0.764735064935065	1.0	0.0	0.88	0.25	0.535714285714286	0.545454545454545	0.764735064935065
US	wedding-&-special-events-wedding-&-special-events-other	0.302334168906901	0.27131104217376	0.0	0.55	0.2	0.178571428571429	0.730769230769231	0.302334168906901
US	legal-law-firm	0.671702380952381	1.0	0.0	0.52	0.27	0.142857142857143	0.666666666666667	0.671702380952381
US	health-care-senior-care	0.751187572368749	0.956299842894081	0.0	0.72	0.435	0.607142857142857	0.454545454545455	0.751187572368749
US	health-care-physicians	0.792564228358767	0.976727561032141	0.0	0.407922077922078	0.48	1.0	0.764705882352941	0.792564228358767
US	home-services-moving-&-storage	0.901792345862957	0.996751467099653	0.0	0.86	0.86	0.964285714285714	0.4	0.901792345862957
